seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
149,Player 2,32,1,-75.0,2,7,3,0.0,2
150,Player 1,38,0,0.0,68,7,5,0.0,2
150,Player 2,38,1,-49.26,58,10,5,1.0,2
151,Player 1,41,0,436.7,128,8,5,0.0,2
151,Player 2,41,1,-1.0,102,10,6,0.0,2
152,Player 1,53,0,-74.03,74,11,6,0.0,1
152,Player 2,53,1,233.61,66,9,7,0.0,1
153,Player 1,13,0,122.35,25,4,1,0.0,2
153,Player 2,13,1,-14.1,18,7,1,0.0,2
154,Player 1,22,0,-100.0,43,5,2,0.0,1
154,Player 2,22,1,0.0,10,9,3,2.0,1
155,Player 1,14,0,24.0,14,8,2,0.0,2
155,Player 2,14,1,-24.0,24,6,2,1.0,2
156,Player 1,13,0,-8.84,6,5,1,0.0,1
156,Player 2,13,1,172.19,0,4,1,0.0,1
157,Player 1,13,0,-85.26,4,4,1,0.0,1
157,Player 2,13,1,52.53,0,7,1,1.0,1
158,Player 1,10,0,-24.0,24,7,1,0.0,1
158,Player 2,10,1,220.17,0,5,1,0.0,1
159,Player 1,33,0,78.0,57,6,4,0.0,2
159,Player 2,33,1,-9.6,104,9,5,0.0,2
160,Player 1,21,0,-10.0,36,7,2,0.0,1
160,Player 2,21,1,229.28,32,8,3,0.0,1
161,Player 1,17,0,128.7,39,6,2,0.0,2
161,Player 2,17,1,-55.13,52,6,2,0.0,2
162,Player 1,36,0,-18.0,87,7,5,0.0,1
162,Player 2,36,1,49.53,64,11,6,2.0,1
163,Player 1,21,0,194.0,49,6,3,0.0,2
163,Player 2,21,1,-58.52,54,8,3,0.0,2
164,Player 1,24,0,224.0,29,9,3,1.0,2
164,Player 2,24,1,-10.0,46,7,4,0.0,2
165,Player 1,30,0,-6.0,97,7,3,1.0,1
165,Player 2,30,1,8.0,0,9,4,0.0,1
166,Player 1,10,0,-25.0,25,6,1,0.0,1
166,Player 2,10,1,60.99,25,6,1,0.0,1
167,Player 1,14,0,68.41,0,4,1,0.0,2
167,Player 2,14,1,-18.0,18,6,1,0.0,2
168,Player 1,79,0,366.09,181,10,10,1.0,2
168,Player 2,79,1,-24.96,348,14,10,4.0,2
169,Player 1,27,0,22.0,20,6,4,0.0,2
169,Player 2,27,1,-22.0,36,7,3,0.0,2
170,Player 1,12,0,-5.24,6,5,0,0.0,1
170,Player 2,12,1,152.17,22,4,1,0.0,1
171,Player 1,9,0,-25.0,25,5,1,0.0,1
171,Player 2,9,1,77.11,0,6,1,0.0,1
172,Player 1,28,0,-29.9,85,8,4,0.0,1
172,Player 2,28,1,271.55,62,7,3,0.0,1
173,Player 1,40,0,-14.12,90,8,4,0.0,1
173,Player 2,40,1,0.0,62,11,6,0.0,1
174,Player 1,24,0,-8.0,94,7,3,0.0,1
174,Player 2,24,1,187.5,55,9,3,2.0,1
175,Player 1,21,0,0.0,6,8,2,1.0,2
175,Player 2,21,1,-94.0,0,7,2,0.0,2
176,Player 1,11,0,-90.95,8,6,1,0.0,1
176,Player 2,11,1,210.7,0,5,1,1.0,1
177,Player 1,21,0,-6.0,12,8,2,1.0,1
177,Player 2,21,1,29.19,80,7,3,1.0,1
178,Player 1,32,0,-100.0,18,7,5,0.0,1
178,Player 2,32,1,30.13,78,10,5,1.0,1
179,Player 1,28,0,-20.0,40,9,3,2.0,1
179,Player 2,28,1,75.35,52,7,4,1.0,1
180,Player 1,32,0,-9.0,74,8,5,1.0,1
180,Player 2,32,1,48.75,58,10,5,2.0,1
181,Player 1,28,0,-100.0,0,9,4,1.0,1
181,Player 2,28,1,238.33,0,6,3,0.0,1
182,Player 1,23,0,-100.0,49,6,3,1.0,1
182,Player 2,23,1,231.69,12,7,2,0.0,1
183,Player 1,35,0,-16.0,129,7,6,0.0,1
183,Player 2,35,1,76.94,102,8,5,1.0,1
184,Player 1,21,0,-100.0,50,7,3,0.0,1
184,Player 2,21,1,116.64,30,4,1,0.0,1
185,Player 1,34,0,-100.0,54,8,5,1.0,1
185,Player 2,34,1,180.7,26,7,5,0.0,1
186,Player 1,21,0,-35.0,45,6,2,0.0,1
186,Player 2,21,1,35.0,0,8,2,2.0,1
187,Player 1,47,0,72.55,112,9,8,0.0,2
187,Player 2,47,1,-14.0,134,11,8,1.0,2
188,Player 1,29,0,122.56,20,7,3,0.0,2
188,Player 2,29,1,-6.95,36,5,2,1.0,2
189,Player 1,43,0,-6.0,92,6,3,1.0,1
189,Player 2,43,1,200.0,134,13,7,2.0,1
190,Player 1,20,0,28.0,12,7,1,0.0,2
