seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
153,Player 2,74,1,483,328,14,12,1.0,2
154,Player 1,35,0,384,82,10,5,0.0,2
154,Player 2,35,1,-44,96,9,5,0.0,2
155,Player 1,55,0,287,132,11,8,1.0,2
155,Player 2,55,1,-7,149,11,6,1.0,2
156,Player 1,20,0,6,41,10,3,0.0,2
156,Player 2,20,1,-76,47,8,0,0.0,2
157,Player 1,19,0,320,60,8,3,0.0,2
157,Player 2,19,1,-30,60,11,3,1.0,2
158,Player 1,56,0,-15,226,10,6,0.0,1
158,Player 2,56,1,305,171,14,8,0.0,1
159,Player 1,15,0,86,10,7,1,0.0,2
159,Player 2,15,1,-6,76,8,2,0.0,2
160,Player 1,21,0,-8,32,10,3,0.0,1
160,Player 2,21,1,88,4,8,2,0.0,1
161,Player 1,20,0,334,30,8,3,0.0,2
161,Player 2,20,1,-14,34,9,3,0.0,2
162,Player 1,26,0,-84,22,10,4,1.0,1
162,Player 2,26,1,254,128,9,5,1.0,1
163,Player 1,30,0,211,61,9,4,0.0,2
163,Player 2,30,1,-21,132,8,4,1.0,2
164,Player 1,57,0,-20,160,13,9,1.0,1
164,Player 2,57,1,310,300,13,10,2.0,1
165,Player 1,33,0,-70,118,8,3,0.0,1
165,Player 2,33,1,240,148,10,5,0.0,1
166,Player 1,19,0,-7,87,10,2,1.0,1
166,Player 2,19,1,217,10,6,2,0.0,1
167,Player 1,96,0,1005,569,16,14,3.0,1
167,Player 2,96,1,1305,254,12,14,2.0,1
168,Player 1,18,0,268,10,7,2,0.0,2
168,Player 2,18,1,-98,18,9,2,0.0,2
169,Player 1,29,0,34,52,8,2,0.0,2
169,Player 2,29,1,-54,16,10,2,0.0,2
170,Player 1,11,0,-6,28,8,1,0.0,1
170,Player 2,11,1,196,32,6,1,1.0,1
171,Player 1,100,0,837,738,16,17,1.0,1
171,Player 2,100,1,1073,395,12,13,0.0,1
172,Player 1,32,0,149,81,10,4,0.0,2
172,Player 2,32,1,-9,150,12,5,1.0,2
173,Player 1,60,0,251,220,13,9,2.0,2
173,Player 2,60,1,159,251,15,8,3.0,2
174,Player 1,17,0,548,66,8,2,0.0,2
174,Player 2,17,1,-58,4,8,2,0.0,2
175,Player 1,11,0,-186,6,7,1,0.0,1
175,Player 2,11,1,946,0,4,1,0.0,1
176,Player 1,26,0,-57,76,10,1,0.0,1
176,Player 2,26,1,87,69,9,4,3.0,1
177,Player 1,46,0,541,71,11,6,1.0,2
177,Player 2,46,1,-61,162,11,7,0.0,2
178,Player 1,51,0,311,116,12,7,0.0,2
178,Player 2,51,1,-51,157,9,4,0.0,2
179,Player 1,51,0,237,153,15,9,1.0,1
179,Player 2,51,1,273,190,13,8,2.0,1
180,Player 1,16,0,109,24,8,1,0.0,2
180,Player 2,16,1,-9,53,9,2,0.0,2
181,Player 1,77,0,154,333,14,12,1.0,1
181,Player 2,77,1,956,207,14,12,0.0,1
182,Player 1,60,0,180,285,15,10,2.0,2
182,Player 2,60,1,130,225,13,9,2.0,2
183,Player 1,41,0,-49,175,12,5,3.0,1
183,Player 2,41,1,349,86,11,6,1.0,1
184,Player 1,25,0,-45,137,10,4,0.0,1
184,Player 2,25,1,205,82,9,3,1.0,1
185,Player 1,74,0,298,188,14,8,0.0,1
185,Player 2,74,1,312,406,14,13,0.0,1
186,Player 1,14,0,106,12,10,2,0.0,2
186,Player 2,14,1,-66,8,7,1,0.0,2
187,Player 1,12,0,1341,4,3,2,0.0,2
187,Player 2,12,1,-1,25,10,2,1.0,2
188,Player 1,12,0,-20,0,9,1,1.0,1
188,Player 2,12,1,670,30,5,2,0.0,1
189,Player 1,59,0,-29,235,12,8,0.0,1
189,Player 2,59,1,259,216,13,7,1.0,1
190,Player 1,17,0,111,28,9,3,0.0,2
190,Player 2,17,1,-1,29,9,2,1.0,2
191,Player 1,87,0,-3,239,11,8,0.0,1
191,Player 2,87,1,613,216,15,14,2.0,1
192,Player 1,24,0,-3,107,8,3,1.0,1
192,Player 2,24,1,143,24,11,4,1.0,1
193,Player 1,22,0,47,77,7,3,0.0,2
193,Player 2,22,1,-77,24,12,2,1.0,2
194,Player 1,37,0,-4,114,12,5,1.0,1
194,Player 2,37,1,244,70,12,6,1.0,1
195,Player 1,36,0,54,80,11,5,0.0,2
195,Player 2,36,1,-174,44,10,4,0.0,2
196,Player 1,77,0,1032,335,12,13,1.0,2
196,Player 2,77,1,478,307,16,12,2.0,2
